id,activity_intensity_score,contribution_consistency,repo_creation_rate,recent_activity_ratio,development_velocity,multitasking_score,code_change_rate,language_specialization,language_balance,repo_language_diversity,tech_stack_breadth,avg_languages_per_repo,avg_repo_size,community_engagement_score,collaboration_ratio,fork_contribution_rate,mentorship_score,social_coding_index,network_influence,repo_active_score,showcase_score,maintenance_score,avg_stars_per_repo,max_stars_repo,avg_forks_per_repo,max_forks_repo,public_repo_ratio,project_complexity,code_review_participation,code_review_index,reputation_score,impact_factor,influence_growth_rate,viral_repo_score,leadership_score,profile_completeness,maintainer_score,team_player_score,generalist_score,work_consistency,learning_velocity,innovation_index
s1monw,0,1.0,0.328769591064673,0.9,376.5,3.0,40.339285714285715,0.5,0.625,3.0,5,0.0,7026826.6,8095,0.0,3.0,0.0,0.9999999997884534,6.827087375914682,0.0,0.0,1.0,63.2,213.0,27.4,127.0,1.0,0.039819547240050435,0.0,0.0,4.4035581501454,98.33333333333333,18.345343181408754,3.317757009345794,0.11666666666666665,1.0,0.3125,0.31666666666666665,0.41666666663194446,0.39980442689117435,0.37499999996875,0.4086508172016231
jrodewig,1067,0.43815161004184144,0.358781127129751,0.9997608799617408,983.75,0.43636363636363634,78.7,1.0,0.0,1.0,4,0.0,5763552.0,3188,0.26397919375812745,0.5,11.480996068152033,0.9999999997884534,3.6506582412937387,2.5,0.0,1.0,0.0,0.0,0.3333333333333333,1.0,1.0,0.31525532345071927,0.4824120603015075,0.741206030015348,1.0219611298619211,0.5,2.1526867627785062,0.0,0.5499999998520259,1.0,0.5,0.17919375807464238,0.33333333330555553,1.0,0.33325362662614244,0.0
dnhatn,861,0.5848752423198871,0.0888293988805062,0.9990224828934506,267.0,0.225,26.7,1.0,0.0,1.0,1,0.0,16833.0,3745,2.03,4.5,22.78474081284984,0.9999999997884534,4.66814498514948,1.5,0.5,1.0,4.0,4.0,5.0,5.0,1.0,0.21982483178145557,0.6580976863753213,0.8290488430522549,2.008729357009029,7.0,4.263811146264298,0.8,0.7833333331853591,1.0,0.09090909090909091,0.8833333330333333,0.08333333332638888,1.0,0.08325187356751655,0.04597680901370785
rmuir,365,0.6270313933796055,0.8802756244616711,0.9977324263038548,183.33333333333334,0.7272727272727273,15.277777777777777,0.5714285714285714,0.48979591836734704,2.0,13,0.0,3800778.6,4065,0.6787878787878788,2.8666666666666667,5.627476313522825,0.9999999997884534,6.669498089857879,0.6666666666666666,0.3333333333333333,1.0,36.0,213.0,17.0,127.0,1.0,0.1577026045923895,1.0853658536585367,0.9999999998645942,4.41715573662854,46.666666666666664,11.066322136089578,5.756756756756757,0.8999999998520258,1.0,0.47619047619047616,0.753636363500606,0.9999999999166667,0.319600640481998,0.9977324262207105,0.4361743080896295
bleskes,18,0.5867928915317513,0.5274566473988439,0.9473684210526315,1039.8333333333333,1.3333333333333335,62.39,0.375,0.71875,4.0,10,0.0,376374.375,3903,0.6363636363636364,1.8888888888888888,0.06593208092485549,0.9999999997884534,8.03268487596762,0.2222222222222222,0.0,1.0,561.25,2301.0,44.0,151.0,1.0,0.10707203634237772,0.2,0.10892758627129567,5.20732859403707,577.1111111111111,10.087608381502891,4.092485549132948,0.009756243860109716,1.0,0.42105263157894735,0.3909090907818182,0.8333333332638889,0.39120222498135143,0.7894736841447368,0.8944271909528312
lcawl,1914,0.5920939423445268,0.0,0.9994791666666667,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2948,1.8198874296435272,68.0,42.87995437696036,0.9999999997884534,4.04305126783455,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4650112866817156,0.732505643205452,1.0101887489959422,0.0,2.9141716566866265,0.0,0.5499999998520259,1.0,0.0,0.6499999997,0.0,1.0,0.0,0.0
spinscale,10,0.627052926551815,3.9047702560505084,0.9833333333333333,619.5,1.3333333333333335,77.4375,0.6,0.58,4.0,11,0.0,39432.8,2222,1.75,0.9354838709677419,0.25605050859347595,0.9999999997884534,7.388637026375056,0.03225806451612903,1.0,1.0,88.8,272.0,23.9,68.0,1.0,0.06484228251037878,0.0,0.0,4.936537107643818,22.032258064516128,26.05313924938618,3.0289532293986636,0.024020567499410915,1.0,0.47619047619047616,0.6370967738935484,0.9166666665902777,0.4867740660385312,0.9013888888137731,0.6850390256711063
jaymode,0,1.0,0.2226062207765806,0.0,713.5,1.8,356.75,1.0,0.0,1.0,1,0.0,15039.333333333334,907,0.0,2.0,0.0,0.8935576288547508,4.574710978503383,0.0,0.0,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,0.17964177878277285,0.0,0.0,1.50793389355234,0.75,3.4874974588330963,0.75,0.11666666666666665,1.0,0.25,0.31666666666666665,0.08333333332638888,0.36602540448059107,0.0,0.022988404506853924
colings86,0,1.0,0.0,0.987012987012987,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2230,0.0,0.0,0.030190239867659226,0.9999999997884534,4.812184355372417,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2381403155135275,0.0,3.6832092638544256,0.0,0.00283220173452525,1.0,0.0,0.0,0.0,1.0,0.0,0.0
jimczi,338,0.5882473252966831,0.1831409934771701,0.9973544973544973,1767.0,0.4,155.91176470588232,1.0,0.0,1.0,4,0.0,3232056.5,2910,1.8658536585365855,4.333333333333333,9.523331660812845,0.9999999997884534,5.093750200806762,1.3333333333333333,0.5,1.0,8.5,17.0,2.5,4.0,1.0,0.2601450075491156,0.697986577181208,0.8489932884551983,2.5166829491757117,9.0,6.684646261916709,1.7894736842105263,0.5499999998520259,1.0,0.15384615384615385,0.6499999997,0.33333333330555553,0.41421356240164103,0.33245149909046146,0.0947836199461838
imotov,32,0.36,2.3659775753328662,0.9782608695652174,1213.0,1.3333333333333335,72.78,0.5,0.6799999999999999,5.0,13,0.0,1160530.8,2196,0.0,1.0263157894736843,0.09591800981079188,0.9999999997884534,8.88495643234039,0.05263157894736842,0.0,1.0,1142.9,10075.0,74.6,459.0,1.0,0.08433888195999198,0.0,0.0,5.708311931632345,340.0263157894737,12.405395935529082,8.807588075880759,0.008998244298461003,1.0,0.47619047619047616,0.2,0.9999999999166667,0.2667284247147619,0.9782608694836956,0.9999999999473577
droberts195,2,0.7220737023733365,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,3097,0.0,9.0,0.07999123383738768,0.9999999997884534,3.1354942159291497,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.5108312771417692,0.7454719949364,0.0,0.8799035722112646,0.0,0.011836635110577993,1.0,0.0,0.2,0.0,1.0,0.0,0.0
ywelsch,122,0.43453149140258884,0.5125376128385155,0.9991843393148451,517.6666666666666,1.0,31.060000000000002,0.42857142857142855,0.7346938775510204,5.0,12,0.0,980076.4285714285,2423,0.2857142857142857,2.75,0.43931795386158473,0.9999999997884534,7.0825485693553,0.5,0.5,1.0,276.0,1545.0,10.857142857142858,61.0,1.0,0.16406325048960882,0.23076923076923078,0.17487081510123662,4.346415135353781,260.5,4.027081243731193,5.577617328519856,0.06500770231843617,1.0,0.3888888888888889,0.28571428565714285,0.9999999999166667,0.3264365202326264,0.9991843392315797,0.8366600264900318
davidkyle,779,0.605539062435502,0.0,0.998719590268886,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1936,2.1073825503355703,11.0,22.466990291262135,0.9999999997884534,3.8066624897703196,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,1.1402877697841727,0.9999999998645942,0.9406482647787449,0.0,1.5592233009708738,0.0,0.6666666665186924,1.0,0.0,0.7666666663666666,0.0,1.0,0.0,0.0
dimitris-athanasiou,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,990,0.0,7.0,0.0,0.9359180584424663,3.1354942159291497,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7454719949364,0.0,0.916039242527949,0.0,0.0,1.0,0.0,0.2,0.0,1.0,0.0,0.0
ywangd,569,0.6174315964055593,1.9836956521739129,0.9992038216560509,7294.833333333333,1.3333333333333335,446.6224489795918,0.7777777777777778,0.37037037037037024,3.0,7,0.0,204046.2,2954,0.75,0.8275862068965517,14.133831521739129,0.9999999997884534,7.640603826393634,0.06896551724137931,0.0,1.0,235.6,1967.0,32.0,231.0,1.0,0.17789722482777515,1.3916083916083917,0.9999999998645942,5.090807577908446,103.3103448275862,14.948563664596273,8.313609467455622,0.6666666665186924,1.0,0.47619047619047616,0.507183907895977,0.5833333332847223,0.27743960688001457,0.5828688959174574,0.9999999999473577
tvernum,370,0.4123613386686495,0.2825624153280434,0.9973118279569892,1839.6,0.9,114.975,0.75,0.375,2.0,8,0.0,691838.25,2202,0.17869415807560138,3.2,2.013257209212309,0.9999999997884534,3.9415818076696905,0.6,0.3333333333333333,1.0,1.75,5.0,0.5,2.0,1.0,0.29197157245141403,0.5384615384615384,0.5370549017527353,1.7842031850163176,2.2,1.5540932843042385,1.8181818181818181,0.29599700169403753,1.0,0.26666666666666666,0.2536082473869416,0.6666666666111111,0.4410998399060544,0.6648745519159199,0.060821601363291906
iverase,555,0.5738441384937234,0.6379260122341974,0.9982014388489209,271.3333333333333,0.9166666666666667,35.391304347826086,0.8,0.31999999999999984,2.0,5,0.0,5857194.5,1769,1.8125,1.8571428571428572,11.376347218176521,0.9999999997884534,5.800606659291741,0.7142857142857143,0.0,1.0,35.833333333333336,213.0,21.333333333333332,127.0,1.0,0.17073843838624403,0.3925925925925926,0.6962962961608905,3.4163226198495185,67.28571428571429,1.5948150305854936,5.782805429864253,0.5499999998520259,1.0,0.35294117647058826,0.6499999997,0.41666666663194446,0.29220546398359837,0.4159172661523906,0.3370761775633358
costin,230,0.5190760630550252,0.11418739246050368,0.9958677685950413,26406.333333333332,0.7,1980.475,1.0,0.0,1.0,9,0.0,7865316.5,3082,4.875,6.333333333333333,7.8789300797747535,0.9999999997884534,6.271933165041461,0.3333333333333333,0.16666666666666666,1.0,0.0,0.0,1.5,3.0,1.0,0.5663981606000349,3.341463414634146,0.9999999998645942,1.9489050818773075,2.0,14.95854841232598,0.0,0.6666666665186924,1.0,0.15384615384615385,0.7666666663666666,0.7499999999375,1.0,0.7469008263840392,0.0
